PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,FROM_YEAR,TO_YEAR,DRAFT_YEAR
203540,Gigi,Datome,Gigi Datome,1987-11-27T00:00:00,Italy,6-8,215,2,Forward,Inactive,1610612765,Pistons,DET,pistons,Detroit,2013.0,2014.0,Undrafted
921,Brad,Daugherty,Brad Daugherty,1965-10-19T00:00:00,USA,7-0,245,8,Center,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,1986.0,1993.0,1986
1600,Kornel,David,Kornel David,1971-10-22T00:00:00,USA,6-9,230,3,Forward,Inactive,1610612741,Bulls,CHI,bulls,Chicago,1998.0,2000.0,Undrafted
201176,Jermareo,Davidson,Jermareo Davidson,1984-11-15T00:00:00,USA,6-10,230,3,Forward,Inactive,1610612766,Bobcats,CHA,hornets,Charlotte,2007.0,2008.0,2007
76514,Bob,Davies,Bob Davies,1920-01-15T00:00:00,USA,6-1,175,7,Guard,Inactive,1610612758,Royals,ROC,kings,Rochester,1948.0,1954.0,Undrafted
203561,Brandon,Davies,Brandon Davies,1991-07-25T00:00:00,USA,6-10,240,2,Forward,Inactive,0,,,,,2013.0,2014.0,Undrafted
203076,Anthony,Davis,Anthony Davis,1993-03-11T00:00:00,USA,6-10,253,13,Forward-Center,Active,1610612742,Mavericks,DAL,mavericks,Dallas,2012.0,2025.0,2012
213,Antonio,Davis,Antonio Davis,1968-10-31T00:00:00,USA,6-9,245,13,Forward-Center,Inactive,0,,,,,1993.0,2005.0,1990
76515,Aubrey,Davis,Aubrey Davis,1921-03-28T00:00:00,USA,6-2,175,1,Guard,Inactive,1610610034,Bombers,BOM,bombers,St. Louis,1946.0,1946.0,Undrafted
1884,Baron,Davis,Baron Davis,1979-04-13T00:00:00,USA,6-3,212,14,Guard,Inactive,1610612766,Hornets,CHH,hornets,Charlotte,1999.0,2011.0,1999
989,Ben,Davis,Ben Davis,1972-12-26T00:00:00,USA,6-9,245,5,Forward,Inactive,0,,,,,1996.0,1999.0,1996
76538,Bill,Davis,Bill Davis,1921-10-03T00:00:00,USA,6-3,215,1,Forward,Inactive,1610610025,Stags,CHS,stags,Chicago,1946.0,1946.0,1968
76533,Bob,Davis,Bob Davis,1950-04-02T00:00:00,USA,6-7,215,1,Forward,Inactive,1610612757,Trail Blazers,POR,blazers,Portland,1972.0,1972.0,1972
76516,Brad,Davis,Brad Davis,1955-12-17T00:00:00,USA,6-3,180,15,Guard,Inactive,1610612742,Mavericks,DAL,mavericks,Dallas,1977.0,1991.0,1977
76517,Brian,Davis,Brian Davis,1970-06-21T00:00:00,USA,6-7,200,1,Forward,Inactive,1610612750,Timberwolves,MIN,timberwolves,Minnesota,1993.0,1993.0,1992
76518,Charlie,Davis,Charlie Davis,1958-10-05T00:00:00,USA,6-7,215,8,Forward,Inactive,1610612764,Bullets,WAS,wizards,Washington,1981.0,1989.0,1981
76519,Charlie,Davis,Charlie Davis,1949-09-07T00:00:00,USA,6-1,160,3,Guard,Inactive,1610612757,Trail Blazers,POR,blazers,Portland,1971.0,1973.0,1971
905,Dale,Davis,Dale Davis,1969-03-25T00:00:00,USA,6-11,252,17,Center-Forward,Inactive,1610612754,Pacers,IND,pacers,Indiana,1991.0,2006.0,1991
1627738,Deyonta,Davis,Deyonta Davis,1996-12-02T00:00:00,USA,6-11,237,4,Center-Forward,Inactive,0,,,,,2016.0,2018.0,2016
76521,Double D,Davis,Double D Davis,1949-10-11T00:00:00,USA,6-8,220,5,Forward,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,1972.0,1976.0,1972
202334,Ed,Davis,Ed Davis,1989-06-05T00:00:00,USA,6-9,218,13,Center-Forward,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,2010.0,2021.0,2010
76522,Edward,Davis,Edward Davis,1950-06-16T00:00:00,USA,6-7,195,5,Forward,Inactive,1610612749,Bucks,MIL,bucks,Milwaukee,1972.0,1976.0,1972
1023,Emanual,Davis,Emanual Davis,1968-08-27T00:00:00,USA,6-5,195,7,Guard,Inactive,1610612760,SuperSonics,SEA,thunder,Seattle,1996.0,2002.0,Undrafted
201175,Glen,Davis,Glen Davis,1986-01-01T00:00:00,USA,6-9,289,8,Forward-Center,Inactive,1610612738,Celtics,BOS,celtics,Boston,2007.0,2014.0,2007
76523,Harry,Davis,Harry Davis,1956-01-27T00:00:00,USA,6-7,220,2,Forward,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,1978.0,1979.0,1978
93,Hubert,Davis,Hubert Davis,1970-05-17T00:00:00,USA,6-5,183,13,Guard,Inactive,1610612752,Knicks,NYK,knicks,New York,1992.0,2003.0,1992
76524,James,Davis,James Davis,1932-04-22T00:00:00,USA,6-7,220,1,Center,Inactive,1610612758,Royals,ROC,kings,Rochester,1955.0,1955.0,1954
76525,Jim,Davis,Jim Davis,1941-12-18T00:00:00,USA,6-9,225,8,Center,Inactive,1610612737,Hawks,ATL,hawks,Atlanta,1967.0,1974.0,1964
76526,Johnny,Davis,Johnny Davis,1955-10-21T00:00:00,USA,6-2,170,10,Guard,Inactive,1610612754,Pacers,IND,pacers,Indiana,1976.0,1985.0,1976
1631098,Johnny,Davis,Johnny Davis,2002-02-27T00:00:00,USA,6-4,195,2,Guard,Inactive,0,,,,,2022.0,2024.0,2022
2668,Josh,Davis,Josh Davis,1980-08-10T00:00:00,USA,6-8,235,4,Forward,Inactive,0,,,,,2003.0,2011.0,Undrafted
707,Mark,Davis,Mark Davis,1973-04-26T00:00:00,USA,6-7,205,4,Guard-Forward,Inactive,1610612755,76ers,PHI,sixers,Philadelphia,1995.0,1999.0,1995
76528,Mark,Davis,Mark Davis,1963-06-08T00:00:00,USA,6-6,195,1,Forward,Inactive,1610612749,Bucks,MIL,bucks,Milwaukee,1988.0,1988.0,1985
76529,Mel,Davis,Mel Davis,1950-11-09T00:00:00,USA,6-6,220,4,Forward,Inactive,1610612752,Knicks,NYK,knicks,New York,1973.0,1976.0,1973
76530,Michael,Davis,Michael Davis,1956-08-02T00:00:00,USA,6-10,230,1,Forward,Inactive,1610612752,Knicks,NYK,knicks,New York,1982.0,1982.0,Undrafted
76531,Mike,Davis,Mike Davis,1946-07-26T00:00:00,USA,6-3,185,4,Guard,Inactive,1610612746,Braves,BUF,clippers,Buffalo,1969.0,1972.0,1969
76520,Monti,Davis,Monti Davis,1958-07-26T00:00:00,USA,6-7,205,1,Forward,Inactive,1610612742,Mavericks,DAL,mavericks,Dallas,1980.0,1980.0,1980
200781,Paul,Davis,Paul Davis,1984-07-21T00:00:00,USA,6-11,270,4,Center,Inactive,0,,,,,2006.0,2009.0,2006
1642930,R.J.,Davis,R.J. Davis,2001-10-21T00:00:00,USA,6-0,180,0,Guard,Active,1610612747,Lakers,LAL,lakers,Los Angeles,2025.0,2025.0,Undrafted
76532,Ralph,Davis,Ralph Davis,1938-09-07T00:00:00,USA,6-4,180,2,Guard,Inactive,1610612764,Packers,CHP,wizards,Chicago,1960.0,1961.0,1960
1729,Ricky,Davis,Ricky Davis,1979-09-23T00:00:00,USA,6-7,195,12,Guard,Inactive,0,,,,,1998.0,2009.0,1998
76534,Ron,Davis,Ron Davis,1954-05-01T00:00:00,USA,6-6,198,3,Guard,Inactive,1610612746,Clippers,SDC,clippers,San Diego,1976.0,1981.0,1976
1629056,Terence,Davis,Terence Davis,1997-05-16T00:00:00,USA,6-4,201,5,Guard,Active,1610612758,Kings,SAC,kings,Sacramento,2019.0,2025.0,Undrafted
426,Terry,Davis,Terry Davis,1967-06-17T00:00:00,USA,6-10,270,10,Center-Forward,Inactive,1610612742,Mavericks,DAL,mavericks,Dallas,1989.0,2000.0,Undrafted
1629093,Tyler,Davis,Tyler Davis,1997-05-22T00:00:00,USA,6-10,266,1,Center,Inactive,0,,,,,2018.0,2018.0,Undrafted
76536,Walt,Davis,Walt Davis,1931-01-05T00:00:00,USA,6-8,205,5,Center,Inactive,1610612744,Warriors,PHW,warriors,Philadelphia,1953.0,1957.0,1952
1453,Walter,Davis,Walter Davis,1954-09-09T00:00:00,USA,6-6,193,15,Guard,Inactive,1610612756,Suns,PHX,suns,Phoenix,1977.0,1991.0,1977
1631120,JD,Davison,JD Davison,2002-10-03T00:00:00,USA,6-1,195,3,Guard,Active,1610612745,Rockets,HOU,rockets,Houston,2022.0,2025.0,2022
203958,Andre,Dawkins,Andre Dawkins,1991-09-19T00:00:00,USA,6-5,219,1,Guard,Inactive,0,,,,,2014.0,2014.0,Undrafted
76539,Darryl,Dawkins,Darryl Dawkins,1957-01-11T00:00:00,USA,6-11,251,14,Center,Inactive,1610612755,76ers,PHI,sixers,Philadelphia,1975.0,1988.0,1975
1008,Johnny,Dawkins,Johnny Dawkins,1963-09-28T00:00:00,USA,6-2,165,9,Guard,Inactive,1610612755,76ers,PHI,sixers,Philadelphia,1986.0,1994.0,1986
76541,Paul,Dawkins,Paul Dawkins,1957-06-10T00:00:00,USA,6-5,190,1,Forward,Inactive,1610612762,Jazz,UTA,jazz,Utah,1979.0,1979.0,1979
1626183,Branden,Dawson,Branden Dawson,1993-02-01T00:00:00,USA,6-6,225,2,Forward,Inactive,1610612746,Clippers,LAC,clippers,LA,2015.0,2015.0,2015
201286,Eric,Dawson,Eric Dawson,1984-07-07T00:00:00,USA,6-9,250,2,Forward,Inactive,0,,,,,2011.0,2011.0,Undrafted
76542,Tony,Dawson,Tony Dawson,1967-08-25T00:00:00,USA,6-7,215,2,Forward,Inactive,1610612758,Kings,SAC,kings,Sacramento,1990.0,1994.0,Undrafted
103,Todd,Day,Todd Day,1970-01-07T00:00:00,USA,,,8,,Inactive,0,,,,,1992.0,2000.0,1992
201948,Austin,Daye,Austin Daye,1988-06-05T00:00:00,USA,6-11,220,7,Forward,Inactive,1610612765,Pistons,DET,pistons,Detroit,2009.0,2014.0,2009
76543,Darren,Daye,Darren Daye,1960-11-30T00:00:00,USA,6-8,220,5,Forward,Inactive,1610612764,Bullets,WAS,wizards,Washington,1983.0,1987.0,1983
1630620,Darius,Days,Darius Days,1999-10-20T00:00:00,USA,6-7,245,2,Forward,Inactive,1610612745,Rockets,HOU,rockets,Houston,2022.0,2022.0,Undrafted
201986,Nando,De Colo,Nando De Colo,1987-06-23T00:00:00,France,6-5,195,3,Guard,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,2012.0,2013.0,2009
76545,Dave,DeBusschere,Dave DeBusschere,1940-10-16T00:00:00,USA,6-6,220,12,Forward,Inactive,1610612765,Pistons,DET,pistons,Detroit,1962.0,1973.0,1962
692,Andrew,DeClercq,Andrew DeClercq,1973-02-01T00:00:00,USA,6-10,255,11,Center,Inactive,0,,,,,1995.0,2004.0,1995
1629602,Javin,DeLaurier,Javin DeLaurier,1998-04-07T00:00:00,USA,6-10,234,1,Center,Inactive,0,,,,,2021.0,2021.0,Undrafted
76551,Nate,DeLong,Nate DeLong,1926-01-05T00:00:00,USA,6-6,220,1,Center,Inactive,1610612737,Hawks,MIH,hawks,Milwaukee,1951.0,1951.0,1950
201942,DeMar,DeRozan,DeMar DeRozan,1989-08-07T00:00:00,USA,6-6,220,16,Guard-Forward,Active,1610612758,Kings,SAC,kings,Sacramento,2009.0,2025.0,2009
76562,Hank,DeZonie,Hank DeZonie,1922-02-12T00:00:00,USA,6-5,215,1,Forward,Inactive,1610612737,Blackhawks,TCB,hawks,Tri-Cities,1950.0,1950.0,Undrafted
76544,Greg,Deane,Greg Deane,1957-12-06T00:00:00,USA,6-4,190,1,Guard,Inactive,1610612762,Jazz,UTA,jazz,Utah,1979.0,1979.0,1979
1630466,Gabriel,Deck,Gabriel Deck,1995-02-08T00:00:00,Argentina,6-6,231,2,Forward,Inactive,0,,,,,2020.0,2021.0,Undrafted
203473,Dewayne,Dedmon,Dewayne Dedmon,1989-08-12T00:00:00,USA,6-10,245,11,Center,Inactive,1610612755,76ers,PHI,sixers,Philadelphia,2013.0,2022.0,Undrafted
76546,Archie,Dees,Archie Dees,1936-02-22T00:00:00,USA,6-8,205,4,Forward,Inactive,1610612765,Pistons,DET,pistons,Detroit,1958.0,1961.0,1958
143,Terry,Dehere,Terry Dehere,1971-09-12T00:00:00,USA,6-4,190,6,Guard,Inactive,1610612746,Clippers,LAC,clippers,Los Angeles,1993.0,1998.0,1993
76548,Red,Dehnert,Red Dehnert,1905-04-07T00:00:00,USA,,,1,,Inactive,1610610032,Steamrollers,PRO,steamrollers,Providence,1946.0,1946.0,Undrafted
1626214,Bryce,Dejean-Jones,Bryce Dejean-Jones,1992-08-21T00:00:00,USA,6-6,203,1,Guard,Inactive,0,,,,,2015.0,2015.0,Undrafted
1626155,Sam,Dekker,Sam Dekker,1994-05-06T00:00:00,USA,6-8,219,5,Forward,Inactive,0,,,,,2015.0,2021.0,2015
219,Vinny,Del Negro,Vinny Del Negro,1966-08-09T00:00:00,USA,,,12,Guard,Inactive,0,,,,,1988.0,2001.0,1988
1627098,Malcolm,Delaney,Malcolm Delaney,1989-03-11T00:00:00,USA,6-3,190,2,Guard,Inactive,1610612737,Hawks,ATL,hawks,Atlanta,2016.0,2017.0,Undrafted
183,Bison,Dele,Bison Dele,1969-04-06T00:00:00,USA,6-11,260,8,Center-Forward,Inactive,1610612743,Nuggets,DEN,nuggets,Denver,1991.0,1998.0,1991
2568,Carlos,Delfino,Carlos Delfino,1982-08-29T00:00:00,Argentina,6-6,230,9,Guard-Forward,Inactive,1610612765,Pistons,DET,pistons,Detroit,2004.0,2013.0,2003
1629116,Angel,Delgado,Angel Delgado,1994-11-20T00:00:00,Dominican Republic,6-10,245,2,Center,Inactive,1610612746,Clippers,LAC,clippers,LA,2018.0,2018.0,2018
960,Tony,Delk,Tony Delk,1974-01-28T00:00:00,USA,6-2,189,10,Guard,Inactive,1610612756,Suns,PHX,suns,Phoenix,1996.0,2005.0,1996
203521,Matthew,Dellavedova,Matthew Dellavedova,1990-09-08T00:00:00,Australia,6-3,200,10,Guard,Inactive,1610612758,Kings,SAC,kings,Sacramento,2013.0,2022.0,Undrafted
76552,Fennis,Dembo,Fennis Dembo,1966-01-24T00:00:00,USA,6-5,215,1,Forward,Inactive,1610612765,Pistons,DET,pistons,Detroit,1988.0,1988.0,1988
76553,Larry,Demic,Larry Demic,1957-06-27T00:00:00,USA,6-9,225,3,Forward,Inactive,1610612752,Knicks,NYK,knicks,New York,1979.0,1981.0,1979
725,Dell,Demps,Dell Demps,1970-02-12T00:00:00,USA,6-3,205,3,Guard,Inactive,0,,,,,1993.0,1996.0,Undrafted
76555,George,Dempsey,George Dempsey,1929-07-19T00:00:00,USA,6-3,190,5,Guard,Inactive,1610612744,Warriors,PHW,warriors,Philadelphia,1954.0,1958.0,1951
2736,Luol,Deng,Luol Deng,1985-04-16T00:00:00,United Kingdom,6-9,237,16,Forward,Inactive,1610612741,Bulls,CHI,bulls,Chicago,2004.0,2018.0,2004
76556,Kenny,Dennard,Kenny Dennard,1958-10-18T00:00:00,USA,6-8,220,3,Forward,Inactive,1610612758,Kings,KCK,kings,Kansas City,1981.0,1983.0,1981
76557,Blaine,Denning,Blaine Denning,1930-09-19T00:00:00,USA,6-2,175,1,Guard,Inactive,1610610024,Bullets,BAL,bullets,Baltimore,1952.0,1952.0,1952
1641926,Dexter,Dennis,Dexter Dennis,1999-02-09T00:00:00,USA,6-5,210,2,Guard,Inactive,0,,,,,2023.0,2023.0,Undrafted
1642484,RayJ,Dennis,RayJ Dennis,2001-03-30T00:00:00,USA,6-1,180,1,Guard,Active,1610612754,Pacers,IND,pacers,Indiana,2024.0,2025.0,Undrafted
202458,Justin,Dentmon,Justin Dentmon,1985-09-05T00:00:00,USA,5-11,185,2,Guard,Inactive,0,,,,,2011.0,2012.0,Undrafted
76558,Randy,Denton,Randy Denton,1949-02-18T00:00:00,USA,6-10,240,1,Center,Inactive,1610612737,Hawks,ATL,hawks,Atlanta,1976.0,1976.0,1971
76559,Rod,Derline,Rod Derline,1952-03-11T00:00:00,USA,6-0,175,2,Guard,Inactive,1610612760,SuperSonics,SEA,thunder,Seattle,1974.0,1975.0,1974
1629094,Marcus,Derrickson,Marcus Derrickson,1996-02-01T00:00:00,USA,6-7,249,2,Forward,Inactive,1610612744,Warriors,GSW,warriors,Golden State,2018.0,2018.0,Undrafted
76560,Dave,Deutsch,Dave Deutsch,1945-05-13T00:00:00,USA,6-1,170,1,Guard,Inactive,1610612752,Knicks,NYK,knicks,New York,1966.0,1966.0,1966
76561,Walter,Devlin,Walter Devlin,1931-12-21T00:00:00,USA,6-5,195,3,Guard,Inactive,1610612765,Pistons,FTW,pistons,Ft. Wayne Zollner,1955.0,1957.0,1955
76568,Ernie,DiGregorio,Ernie DiGregorio,1951-01-15T00:00:00,USA,6-0,180,5,Guard,Inactive,1610612746,Braves,BUF,clippers,Buffalo,1973.0,1977.0,1973
1628978,Donte,DiVincenzo,Donte DiVincenzo,1997-01-31T00:00:00,USA,6-4,203,7,Guard,Active,1610612750,Timberwolves,MIN,timberwolves,Minnesota,2018.0,2025.0,2018
1631217,Moussa,Diabaté,Moussa Diabaté,2002-01-21T00:00:00,France,6-9,210,3,Forward,Active,1610612766,Hornets,CHA,hornets,Charlotte,2022.0,2025.0,2022
1629603,Mamadi,Diakite,Mamadi Diakite,1997-01-21T00:00:00,Guinea,6-9,228,5,Forward,Inactive,1610612752,Knicks,NYK,knicks,New York,2020.0,2023.0,Undrafted
1760,Derrick,Dial,Derrick Dial,1975-12-20T00:00:00,USA,6-4,184,5,Guard,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,1999.0,2003.0,1998
1627767,Cheick,Diallo,Cheick Diallo,1996-09-13T00:00:00,Mali,6-8,219,6,Forward-Center,Inactive,0,,,,,2016.0,2021.0,2016
1628977,Hamidou,Diallo,Hamidou Diallo,1998-07-31T00:00:00,USA,6-5,202,6,Guard,Inactive,0,,,,,2018.0,2023.0,2018
2564,Boris,Diaw,Boris Diaw,1982-04-16T00:00:00,France,6-8,250,15,Center-Forward,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,2003.0,2016.0,2003
1642885,Mohamed,Diawara,Mohamed Diawara,2005-04-29T00:00:00,France,6-9,225,0,Forward,Active,1610612752,Knicks,NYK,knicks,New York,2025.0,2025.0,2025
200821,Yakhouba,Diawara,Yakhouba Diawara,1982-08-29T00:00:00,USA,6-7,225,5,Forward-Guard,Inactive,1610612743,Nuggets,DEN,nuggets,Denver,2006.0,2009.0,Undrafted
200799,Guillermo,Diaz,Guillermo Diaz,1985-03-04T00:00:00,USA,,,1,,Inactive,0,,,,,2007.0,2016.0,2006
1641711,Gradey,Dick,Gradey Dick,2003-11-20T00:00:00,USA,6-7,200,2,Guard-Forward,Active,1610612761,Raptors,TOR,raptors,Toronto,2023.0,2025.0,2023
2424,Dan,Dickau,Dan Dickau,1978-09-16T00:00:00,USA,6-0,180,7,Guard,Inactive,1610612737,Hawks,ATL,hawks,Atlanta,2002.0,2007.0,2002
2079,Kaniel,Dickens,Kaniel Dickens,1978-07-21T00:00:00,USA,6-8,215,3,Forward,Inactive,0,,,,,2003.0,2007.0,2000
76563,Henry,Dickerson,Henry Dickerson,1951-11-27T00:00:00,USA,6-4,190,2,Guard,Inactive,1610612765,Pistons,DET,pistons,Detroit,1975.0,1976.0,Undrafted
1722,Michael,Dickerson,Michael Dickerson,1975-06-25T00:00:00,USA,6-5,190,6,Guard,Inactive,1610612763,Grizzlies,MEM,grizzlies,Memphis,1998.0,2002.0,1998
76564,Derrek,Dickey,Derrek Dickey,1951-03-20T00:00:00,USA,6-7,218,5,Forward,Inactive,1610612744,Warriors,GOS,warriors,Golden State,1973.0,1977.0,1973
76565,Dick,Dickey,Dick Dickey,1926-10-26T00:00:00,USA,6-1,175,1,Guard,Inactive,1610612738,Celtics,BOS,celtics,Boston,1951.0,1951.0,1950
1630621,Hunter,Dickinson,Hunter Dickinson,2000-11-25T00:00:00,USA,7-1,255,0,Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,2025.0,2025.0,Undrafted
101143,Travis,Diener,Travis Diener,1982-03-01T00:00:00,USA,6-1,175,6,Guard,Inactive,1610612754,Pacers,IND,pacers,Indiana,2005.0,2009.0,2005
203476,Gorgui,Dieng,Gorgui Dieng,1990-01-18T00:00:00,Senegal,6-10,248,11,Center,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,2013.0,2022.0,2013
1631172,Ousmane,Dieng,Ousmane Dieng,2003-05-21T00:00:00,France,6-9,185,3,Forward,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,2022.0,2025.0,2022
76566,Connie,Dierking,Connie Dierking,1936-10-02T00:00:00,USA,6-10,222,10,Center,Inactive,1610612758,Royals,CIN,kings,Cincinnati,1958.0,1970.0,1958
76567,Coby,Dietrick,Coby Dietrick,1948-07-23T00:00:00,USA,6-11,220,7,Center,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,1976.0,1982.0,1970
76569,Mickey,Dillard,Mickey Dillard,1958-10-15T00:00:00,USA,6-3,170,1,Guard,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,1981.0,1981.0,1981
76570,Bob,Dille,Bob Dille,1917-07-02T00:00:00,USA,6-3,190,1,Forward,Inactive,1610610028,Falcons,DEF,falcons,Detroit,1946.0,1946.0,Undrafted
1642265,Rob,Dillingham,Rob Dillingham,2005-01-04T00:00:00,USA,6-2,175,1,Guard,Active,1610612750,Timberwolves,MIN,timberwolves,Minnesota,2024.0,2025.0,2024
76571,John,Dillon,John Dillon,1924-01-08T00:00:00,USA,6-3,180,1,Forward,Inactive,1610610036,Capitols,WAS,capitols,Washington,1949.0,1949.0,1948
76574,Byron,Dinkins,Byron Dinkins,1967-06-15T00:00:00,USA,6-1,170,2,Guard,Inactive,1610612745,Rockets,HOU,rockets,Houston,1989.0,1990.0,Undrafted
76575,Jackie,Dinkins,Jackie Dinkins,1950-01-22T00:00:00,USA,6-5,210,1,Forward,Inactive,1610612741,Bulls,CHI,bulls,Chicago,1971.0,1971.0,1971
76576,Bill,Dinwiddie,Bill Dinwiddie,1943-07-15T00:00:00,USA,6-7,220,4,Forward,Inactive,1610612758,Royals,CIN,kings,Cincinnati,1967.0,1971.0,Undrafted
203915,Spencer,Dinwiddie,Spencer Dinwiddie,1993-04-06T00:00:00,USA,6-5,215,11,Guard,Active,1610612766,Hornets,CHA,hornets,Charlotte,2014.0,2025.0,2014
101113,Ike,Diogu,Ike Diogu,1983-09-11T00:00:00,USA,6-9,250,7,Forward,Inactive,0,,,,,2005.0,2011.0,2005
2205,DeSagana,Diop,DeSagana Diop,1982-01-30T00:00:00,Senegal,7-0,280,13,Center,Inactive,1610612742,Mavericks,DAL,mavericks,Dallas,2001.0,2012.0,2001
76577,Terry,Dischinger,Terry Dischinger,1940-11-21T00:00:00,USA,6-7,189,9,Forward,Inactive,1610612765,Pistons,DET,pistons,Detroit,1962.0,1972.0,1962
76578,Fred,Diute,Fred Diute,1929-01-09T00:00:00,USA,6-3,210,1,Guard,Inactive,1610612737,Hawks,MIH,hawks,Milwaukee,1954.0,1954.0,1951
124,Vlade,Divac,Vlade Divac,1968-02-03T00:00:00,Serbia,7-1,260,17,Center,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,1989.0,2004.0,1989
2413,Juan,Dixon,Juan Dixon,1978-10-09T00:00:00,USA,6-3,165,8,Guard,Inactive,1610612764,Wizards,WAS,wizards,Washington,2002.0,2008.0,2002
1059,Aleksandar,Djordjevic,Aleksandar Djordjevic,1967-08-26T00:00:00,Serbia,6-2,198,1,Guard,Inactive,0,,,,,1996.0,1996.0,Undrafted
76580,Earl,Dodd,Earl Dodd,1924-11-01T00:00:00,USA,6-5,175,1,Forward,Inactive,1610610027,Nuggets,DN ,nuggets,Denver,1949.0,1949.0,1949
1720,Michael,Doleac,Michael Doleac,1977-06-15T00:00:00,USA,6-11,262,11,Center,Inactive,1610612753,Magic,ORL,magic,Orlando,1998.0,2007.0,1998
76581,Joe,Dolhon,Joe Dolhon,1927-07-09T00:00:00,USA,6-0,175,2,Guard,Inactive,1610610024,Bullets,BAL,bullets,Baltimore,1949.0,1950.0,Undrafted
76582,Bob,Doll,Bob Doll,1919-08-10T00:00:00,USA,6-4,195,4,Forward,Inactive,1610610034,Bombers,BOM,bombers,St. Louis,1946.0,1949.0,Undrafted
76583,James,Donaldson,James Donaldson,1957-08-16T00:00:00,USA,7-2,275,14,Center,Inactive,1610612742,Mavericks,DAL,mavericks,Dallas,1980.0,1994.0,1979
